type,problem,answer,time
d,1,1,212
d,2,2,345
d,3,3,545
d,4,4,462
d,5,5,559
d,6,6,78
d,7,1,1753
d,8,2,1579
d,9,3,606
d,10,4,229
d,11,5,708
d,12,6,639
d,13,7,765
d,14,2,581
d,15,3,654
d,16,4,907
d,17,1,1095
d,18,2,1394
d,19,3,1793
d,20,4,3407
d,21,3,2045
d,22,4,1371
d,23,1,2397
d,24,2,1136
d,25,3,1055
d,26,4,1048
d,27,5,1875
d,28,4,1729
d,29,5,1745
d,30,2,1573
d,31,3,1786
d,32,4,1884
d,33,5,3403
d,34,2,1282
d,35,3,2414
d,36,4,2565
d,37,1,1857
d,38,2,1641
d,39,3,3366
d,40,2,1818
d,41,3,2711
d,42,4,3183
d,43,5,1817
d,44,2,1900
d,45,3,3429
d,46,2,2072
d,47,3,1589
d,48,4,1611
d,49,5,1682
d,50,6,1737
d,51,3,1778
d,52,1,1893
d,53,2,1871
d,54,2,1889
d,55,3,2321
d,56,4,2047
d,57,3,2038
d,58,4,2128
d,59,2,2217
d,60,2,2200
d,61,3,2218
d,62,4,2301
d,63,3,2340
d,64,4,2380
d,65,5,2418
d,66,3,2446
d,67,3,2517
d,68,4,2577
d,69,2,2599
d,70,3,2656
d,71,3,2723
d,72,4,2773
d,73,4,2839
d,74,2,2896
d,75,2,2864
d,76,3,3012
d,77,3,3031
d,78,4,3065
d,79,5,3111
d,80,4,3167
d,81,3,3228
d,82,3,3241
d,83,3,3294
d,84,4,4942
d,85,5,4628
d,86,3,3437
d,87,4,3501
d,88,4,3608
d,89,2,3599
d,90,3,3663
d,91,3,3663
d,92,3,3758
d,93,4,3792
d,94,4,3877
d,95,5,3904
d,96,3,3975
d,97,3,4018
d,98,3,4069
d,99,4,4116
d,100,4,4205
d,101,5,4209
d,102,6,4273
d,103,4,4409
d,104,2,4361
d,105,3,4473
d,106,3,4497
d,107,4,4526
d,108,4,5599
d,109,4,4657
d,110,5,4692
d,111,3,4872
d,112,3,4831
d,113,4,5393
d,114,4,4959
d,115,4,4957
d,116,5,5212
d,117,5,5279
d,118,4,14541
d,119,4,6102
d,120,4,6117
d,121,3,5264
d,122,4,12323
d,123,4,5489
d,124,5,6667
d,125,5,6340
d,126,3,5477
d,127,3,5561
d,128,4,6631
d,129,4,7483
d,130,5,6468
d,131,5,5714
d,132,5,7009
d,133,4,6311
d,134,4,7166
d,135,4,6689
d,136,5,7583
d,137,5,7334
d,138,4,7571
d,139,5,6756
d,140,5,7427
d,141,3,7015
d,142,4,7893
d,143,4,7105
d,144,4,7875
d,145,5,7586
d,146,5,7330
d,147,6,8164
d,148,4,7713
d,149,4,7682
d,150,4,7663
d,151,5,6813
d,152,5,7693
d,153,6,7854
d,154,6,7466
d,155,5,8267
d,156,3,7966
d,157,4,8322
d,158,4,8549
d,159,5,7620
d,160,5,10042
d,161,5,9352
d,162,6,10838
d,163,4,8259
d,164,4,7288
d,165,5,9599
d,166,5,10889
d,167,5,8872
d,168,6,8866
d,169,6,9527
d,170,5,9316
d,171,5,8949
d,172,5,7735
d,173,4,10458
d,174,5,10611
d,175,5,10056
d,176,6,9611
d,177,6,10994
d,178,4,11069
d,179,4,10698
d,180,5,11522
d,181,5,10985
d,182,6,10023
d,183,6,9387
d,184,6,11468
d,185,5,11872
d,186,5,8739
d,187,5,11384
d,188,6,10194
d,189,6,9618
d,190,5,10443
d,191,6,11297
d,192,6,9005
d,193,4,10247
d,194,5,10658
d,195,5,11679
d,196,5,10887
d,197,6,11740
d,198,6,12897
d,199,7,10328
