type,problem,answer,time,,type,problem,answer,time,,,,,,,,,,type,problem,answer,time,,type,problem,answer,time
d,1,1,0,,d,1,1,0,,,,,,,,,,m,1,1,0,,r,1,1,0
d,2,2,0,,d,2,2,0,,,,,,,,,,m,2,2,0,,r,2,2,0
d,3,3,0,,d,3,3,0,,,,,,,,,,m,3,3,0,,r,3,3,0
d,4,4,0,,d,4,4,0,,,,,,,,,,m,4,4,0,,r,4,4,0
d,5,5,0,,d,5,5,0,,,,,,,,,,m,5,5,0,,r,5,5,0
d,6,6,0,,d,6,6,0,,,,,,,,,,m,6,6,0,,r,6,6,0
d,7,1,0,,d,7,1,0,,,,,,,,,,m,7,1,0,,r,7,1,0
d,8,2,0,,d,8,2,0,,,,,,,,,,m,8,2,0,,r,8,2,0
d,9,3,0,,d,9,3,0,,,,,,,,,,m,9,3,0,,r,9,3,0
d,10,4,0,,d,10,4,0,,,,,,,,,,m,10,4,0,,r,10,4,0
d,11,5,0,,d,11,5,0,,,,,,,,,,m,11,5,0,,r,11,5,0
d,12,6,1,,d,12,6,1,,,,,,,,,,m,12,6,0,,r,12,6,0
d,13,7,0,,d,13,7,0,,,,,,,,,,m,13,7,0,,r,13,7,0
d,14,2,0,,d,14,2,0,,,,,,,,,,m,14,2,0,,r,14,2,0
d,15,3,0,,d,15,3,0,,,,,,,,,,m,15,3,0,,r,15,3,1
d,16,4,2,,d,16,4,2,,,,,,,,,,m,16,4,3,,r,16,4,0
d,17,1,0,,d,17,1,0,,,,,,,,,,m,17,1,3,,r,17,1,0
d,18,2,0,,d,18,2,0,,,,,,,,,,m,18,2,3,,r,18,2,0
d,19,3,0,,d,19,3,0,,,,,,,,,,m,19,3,0,,r,19,3,2
d,20,4,0,,d,20,4,0,,,,,,,,,,m,20,4,0,,r,20,4,1
d,21,3,0,,d,21,3,0,,,,,,,,,,m,21,3,0,,r,21,3,1
d,22,4,0,,d,22,4,0,,,,,,,,,,m,22,4,0,,r,22,4,1
d,23,1,0,,d,23,1,0,,,,,,,,,,m,23,1,0,,r,23,1,3
d,24,2,1,,d,24,2,1,,,,,,,,,,m,24,2,0,,r,24,2,3
d,25,3,0,,d,25,3,0,,,,,,,,,,m,25,3,0,,r,25,3,4
d,26,4,0,,d,26,4,0,,,,,,,,,,m,26,4,0,,r,26,4,5
d,27,5,0,,d,27,5,0,,,,,,,,,,m,27,5,0,,r,27,5,6
d,28,4,0,,d,28,4,0,,,,,,,,,,m,28,4,0,,r,28,4,7
d,29,5,0,,d,29,5,0,,,,,,,,,,m,29,5,0,,r,29,5,9
d,30,2,0,,d,30,2,0,,,,,,,,,,m,30,2,0,,r,30,2,13
d,31,3,0,,d,31,3,0,,,,,,,,,,m,31,3,0,,r,31,3,16
d,32,4,0,,d,32,4,0,,,,,,,,,,m,32,4,0,,r,32,4,21
