type,problem,answer,time
d,1,1,300
r,1,1,230
m,1,1,530
d,2,2,240
r,2,2,320
m,2,2,420
d,3,3,820
r,3,3,300
m,3,3,270
d,4,4,420
r,4,4,250
m,4,4,400
d,5,5,510
r,5,5,470
m,5,5,570
d,6,6,720
r,6,6,460
m,6,6,720
d,7,1,1080
r,7,1,1050
m,7,1,1190
d,8,2,1430
r,8,2,2380
m,8,2,1970
d,9,3,3740
r,9,3,7510
m,9,3,3850
d,10,4,4010
r,10,4,29940
m,10,4,17650
d,11,5,29400
r,11,5,6080
m,11,5,9950
d,12,6,8240
r,12,6,26480
m,12,6,28520
d,13,7,20500
r,13,7,180760
m,13,7,29550
d,14,2,560
r,14,2,1030
m,14,2,50260
d,15,3,860
r,15,3,3980
m,15,3,42040
d,16,4,1020
r,16,4,1480
m,16,4,890
d,17,1,800
r,17,1,2460
m,17,1,2330
d,18,2,1400
r,18,2,3740
m,18,2,1200
d,19,3,770
r,19,3,3070
m,19,3,1270
d,20,4,1160
r,20,4,5660
m,20,4,23280
d,21,3,1140
r,21,3,8680
m,21,3,2070
d,22,4,1530
r,22,4,10040
m,22,4,2170
d,23,1,1040
r,23,1,6180
m,23,1,990
d,24,2,800
r,24,2,5630
m,24,2,1420
d,25,3,790
r,25,3,7440
m,25,3,1160
d,26,4,1090
r,26,4,10140
m,26,4,1460
d,27,5,1180
r,27,5,14910
m,27,5,1550
d,28,4,1220
r,28,4,37140
m,28,4,1360
d,29,5,990
r,29,5,17060
m,29,5,1410
d,30,2,950
r,30,2,30210
m,30,2,1720
d,31,3,1100
r,31,3,28570
m,31,3,1660
d,32,4,1140
r,32,4,41680
m,32,4,1910
d,33,5,1290
r,33,5,53590
m,33,5,1990
d,34,2,1560
r,34,2,65370
m,34,2,2080
d,35,3,1420
r,35,3,114920
m,35,3,2180
d,36,4,1740
r,36,4,178110
m,36,4,5140
d,37,1,2840
r,37,1,365440
m,37,1,3670
d,38,2,1640
r,38,2,168470
m,38,2,1590
d,39,3,1010
r,39,3,171700
m,39,3,2530
d,40,2,1550
r,40,2,778590
m,40,2,4600
d,41,3,3630
r,41,3,909630
m,41,3,4130
d,42,4,2560
r,42,4,757180
m,42,4,3700
d,43,5,2070
r,43,5,584600
m,43,5,3210
d,44,2,1700
r,44,2,872800
m,44,2,3320
d,45,3,2160
r,45,3,807040
m,45,3,2400
d,46,2,1510
r,46,2,1190910
m,46,2,5040
d,47,3,3500
r,47,3,1889280
m,47,3,4250
